Sodium Silicate Density,pH,Setting Time,Drying Temperature,Proportions,Sample Size
1.125,3.5,40,150,14,1000
1.125,3.5,50,120,13.5,1000
1.125,3.5,30,135,18.3,1000
1.125,3,40,120,17.4,1000
1.125,3,50,135,16.3,1000
1.125,3,30,150,13.9,1000
1.125,4,40,135,14.1,1000
1.125,4,50,150,12,1000
1.125,4,30,120,12,1000
1.121,3.5,40,120,17,1000
1.121,3.5,50,135,10.5,1000
1.121,3.5,30,150,15.3,1000
1.121,3,40,135,21,1000
1.121,3,50,150,20.5,1000
1.121,3,30,120,19.8,1000
1.121,4,40,150,12.3,1000
1.121,4,50,120,11.3,1000
1.121,4,30,135,10.5,1000
1.123,3.5,40,135,15.2,1000
1.123,3.5,50,150,12.3,1000
1.123,3.5,30,120,12,1000
1.123,3,40,150,11.1,1000
1.123,3,50,120,12.8,1000
1.123,3,30,135,13.4,1000
1.123,4,40,120,10.3,1000
1.123,4,50,135,10.4,1000
1.123,4,30,150,11.7,100